gene_name	gene_symbol	chrom	strand
0610005C13Rik	0610005C13Rik	chr7	-1
0610007P14Rik	0610007P14Rik	chr12	-1
0610009B22Rik	0610009B22Rik	chr11	-1
0610009L18Rik	0610009L18Rik	chr11	1
0610009O20Rik	0610009O20Rik	chr18	1
0610010B08Rik	0610010B08Rik	chr2	1
0610010B08Rik;Gm4724	0610010B08Rik	chr2	-1
0610010B08Rik;Gm4724	Gm4724	chr2	-1
0610010F05Rik	0610010F05Rik	chr11	-1
0610010K14Rik;Rnasek	0610010K14Rik	chr11	-1
0610010K14Rik;Rnasek	Rnasek	chr11	-1
0610011F06Rik	0610011F06Rik	chr17	1
0610012G03Rik	0610012G03Rik	chr16	-1
0610030E20Rik	0610030E20Rik	chr6	1
0610031O16Rik	0610031O16Rik	chr3	-1
0610037L13Rik	0610037L13Rik	chr4	1
0610038B21Rik;AK166159	0610038B21Rik	chr8	1
0610038B21Rik;AK166159	AK166159	chr8	1
0610039H22Rik	0610039H22Rik	chr11	1
0610039K10Rik	0610039K10Rik	chr2	1
0610040B10Rik	0610040B10Rik	chr5	1
0610040F04Rik	0610040F04Rik	chr6	-1
0610040J01Rik	0610040J01Rik	chr5	1
0610043K17Rik	0610043K17Rik	chr4	1
1010001N08Rik	1010001N08Rik	chr18	-1
1110001J03Rik	1110001J03Rik	chr6	1
1110002L01Rik	1110002L01Rik	chr12	-1
1110004E09Rik	1110004E09Rik	chr16	-1
1110004F10Rik	1110004F10Rik	chr7	1
1110006O24Rik	1110006O24Rik	chr5	-1
1110008F13Rik	1110008F13Rik	chr2	1
1110008L16Rik	1110008L16Rik	chr12	1
1110008P14Rik	1110008P14Rik	chr2	-1
1110012L19Rik	1110012L19Rik	chrX	1
1110015O18Rik	1110015O18Rik	chr3	1
1110017D15Rik	1110017D15Rik	chr4	-1
1110019D14Rik	1110019D14Rik	chr6	1
1110020A21Rik	1110020A21Rik	chr17	-1
1110025L11Rik	1110025L11Rik	chr16	-1
1110028F11Rik	1110028F11Rik	chr11	1
1110028F18Rik	1110028F18Rik	chr8	1
1110032A03Rik	1110032A03Rik	chr9	-1
1110032F04Rik	1110032F04Rik	chr3	1
1110034G24Rik	1110034G24Rik	chr2	1
1110036E04Rik	1110036E04Rik	chr9	1
1110037F02Rik	1110037F02Rik	chr4	1
1110038B12Rik	1110038B12Rik	chr17	-1
1110038F14Rik	1110038F14Rik	chr15	1
1110046J04Rik	1110046J04Rik	chr13	1
1110051M20Rik	1110051M20Rik	chr2	-1
1110058D11Rik	1110058D11Rik	chr17	-1
1110059E24Rik	1110059E24Rik	chr19	-1
1110059G10Rik	1110059G10Rik	chr9	-1
1110065P20Rik	1110065P20Rik	chr4	-1
1190002N15Rik	1190002N15Rik	chr9	-1
1190003K10Rik	1190003K10Rik	chr13	-1
1190005I06Rik;Emc8;Emc8-1190005i06rik	1190005I06Rik	chr8	-1
1190005I06Rik;Emc8;Emc8-1190005i06rik	Emc8	chr8	-1
1190005I06Rik;Emc8;Emc8-1190005i06rik	Emc8-1190005i06rik	chr8	-1
1190007I07Rik	1190007I07Rik	chr10	-1
1300002E11Rik	1300002E11Rik	chr16	1
1300017J02Rik	1300017J02Rik	chr9	-1
1500004A13Rik;AK014401	1500004A13Rik	chr3	-1
1500004A13Rik;AK014401	AK014401	chr3	-1
1500009C09Rik	1500009C09Rik	chr15	1
1500009L16Rik	1500009L16Rik	chr10	1
1500011B03Rik	1500011B03Rik	chr5	-1
1500011K16Rik	1500011K16Rik	chr2	-1
1500012K07Rik	1500012K07Rik	chr7	1
1500015A07Rik	1500015A07Rik	chr18	1
1500015L24Rik	1500015L24Rik	chr19	1
1500015O10Rik	1500015O10Rik	chr1	1
1500017E21Rik	1500017E21Rik	chr19	-1
1500026H17Rik	1500026H17Rik	chr10	1
1600002D24Rik	1600002D24Rik	chr16	-1
1600002H07Rik	1600002H07Rik	chr17	-1
1600002K03Rik	1600002K03Rik	chr10	1
1600010M07Rik	1600010M07Rik	chr7	-1
1600012H06Rik	1600012H06Rik	chr17	1
1600012P17Rik	1600012P17Rik	chr1	-1
1600014C10Rik	1600014C10Rik	chr7	1
1600014C23Rik	1600014C23Rik	chr17	-1
